Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Open,In Spec,Ready for Dev,In Dev,Ready for Test,In Test,On Hold,Resolved,Closed,Resolution 
Shared Test, Integration and Delivery Porsche Connect,,STID-688,Feature,Resolved,26.11.2020 11:27:37,Übergreifend|,,26.11.2020 11:27:56,04.02.2021 14:57:59,0,0,76488,24521,0,0,0,747216,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-687,Feature,Resolved,25.11.2020 12:51:17,Automatisierungsplattform & Continuous Integration|,,05.05.2021 11:49:47,05.05.2021 11:52:33,2,231778,0,0,0,0,0,617801,0,Won't Do 
Shared Test, Integration and Delivery Porsche Connect,,STID-686,Feature,Resolved,25.11.2020 11:04:52,CC-Erpobung und Q-Absicherung​ |,,25.11.2020 11:06:10,12.01.2021 10:57:35,0,1,18705,50405,0,0,0,780576,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-685,Feature,Resolved,25.11.2020 10:51:51,CC-Erpobung und Q-Absicherung​ |,,25.11.2020 10:51:57,01.12.2020 16:07:39,0,0,8955,0,0,0,0,840746,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-684,Feature,Closed,25.11.2020 10:43:35,Fahrzeuginbetriebnahme & CC-Fahrzeugflotte​|,,25.11.2020 11:09:20,16.02.2021 10:37:03,0,119512,0,0,0,0,0,0,730197,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-683,Feature,Resolved,25.11.2020 10:25:37,Konfigurationsmanagement|,,18.01.2021 15:53:26,10.02.2021 12:54:49,0,78087,29849,3091,0,0,0,738699,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-682,Feature,Resolved,25.11.2020 10:22:10,Konfigurationsmanagement|,,25.11.2020 10:30:42,29.03.2021 16:28:34,0,8,67665,111251,0,0,0,670805,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-681,Feature,Resolved,25.11.2020 10:21:02,Konfigurationsmanagement|,,25.11.2020 10:26:03,03.05.2021 13:19:50,0,108000,102509,18629,0,0,0,620594,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-680,Feature,Resolved,25.11.2020 10:18:16,Konfigurationsmanagement|,,25.11.2020 10:26:25,03.05.2021 13:19:03,0,108002,102509,18628,0,0,0,620595,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-679,Feature,Open,25.11.2020 10:11:19,,,,,849742,0,0,0,0,0,0,0, 
